CB Link ID,Borough,Community Board,Council District,Latitude,Longitude,Project Status,Smallest PPT,Street Address,Postcode,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Neighborhood Tabulation Area (NTA),Building Identification Number (BIN),Borough-Block-Lot (BBL),Census Tract (CT),Cross Street 1,Cross Street 2,IxN Corner,GF Permit Application ID,Location,X Coordinate,Y Coordinate
LINK-000054,Brooklyn,302,33,40.687497,-73.990023,Live,127278,126 SMITH STREET,11201,bk-02-127278,09/18/2017,07/01/2017,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3001047,3001870029,3004300,DEAN STREET,PACIFIC STREET,NW,,"(40.6874966, -73.99002262)",987017.0550384197,189750.13968213275
LINK-013082,Queens,401,22,40.763000,-73.913259,Live,125116,42-02 30 AVENUE,11103,qu-01-125116,07/10/2017,05/06/2017,Astoria,4011927,4006960037,4014900,42 STREET,43 STREET,SE,,"(40.763, -73.913259)",1008278.883848164,217270.10688632727
LINK-004809,Manhattan,107,7,40.800504,-73.966107,Live,107743,200 WEST 106 STREET,10025,mn-07-107743,06/05/2018,12/12/2017,Upper West Side,1056619,1018770036,1019100,AMSTERDAM AVENUE,BROADWAY,SW,,"(40.80050433, -73.96610661)",993633.8190531745,230924.12548206747
LINK-000090,Bronx,207,15,40.861993,-73.891830,Live,119793,385 EAST FORDHAM ROAD,10458,bx-07-119793,06/21/2017,08/27/2016,Bedford Park-Fordham North,2016327,2032750065,2039901,DECATUR AVENUE,MARION AVENUE,NW,,"(40.86199332, -73.89182996)",1014170.5897866996,253343.48851570487
LINK-013808,Manhattan,105,3,40.751274,-73.991069,Live,121998,207 WEST 34 STREET,10001,mn-05-121998,03/27/2018,11/12/2016,Midtown-Midtown South,1014408,1007840041,1010900,7 AVENUE,8 AVENUE,NW,,"(40.75127386, -73.99106942)",986724.3741095592,212986.12104193866
LINK-010708,Manhattan,102,1,40.718198,-74.000048,Live,122330,241 CANAL STREET,10013,mn-02-122330,05/19/2017,03/18/2017,SoHo-TriBeCa-Civic Center-Little Italy,1002675,1002080019,1004500,CENTRE STREET,LAFAYETTE STREET,NW,,"(40.71819776, -74.000048)",984236.6941532467,200935.33195018396
LINK-000004,Brooklyn,301,34,40.701930,-73.942239,Live,143982,32 GRAHAM AVENUE,11206,bk-01-143982,08/02/2017,07/01/2017,East Williamsburg,3071609,3031200003,3049100,DEBEVOISE STREET,COOK STREET,NE,,"(40.70193034, -73.94223924)",1000265.4864544066,195013.8995251991
LINK-000532,Manhattan,102,3,40.739677,-74.002735,Live,123540,75 8 AVENUE,10014,mn-02-123540,04/15/2016,03/11/2016,West Village,1080226,1006297504,1007700,WEST 14 STREET,GREENWICH AVENUE,SW,,"(40.73967748, -74.00273531)",983492.0023730927,208761.07466055453
LINK-019366,Brooklyn,308,36,40.677504,-73.949697,Live,145831,575 NOSTRAND AVENUE,11216,bk-08-145831,05/08/2017,03/24/2017,Crown Heights North,3030039,3012070005,3031500,PACIFIC STREET,DEAN STREET,SE,81691,"(40.677504, -73.94969703)",998202.7549478386,186113.39495057985
LINK-000834,Manhattan,108,4,40.767331,-73.962523,Live,120986,1172 3 AVENUE,10065,mn-08-120986,04/15/2016,03/19/2016,Upper East Side-Carnegie Hill,1042479,1014030033,1012000,EAST 68 STREET,EAST 69 STREET,NW,,"(40.76733135, -73.96252262)",994631.2633865587,218838.48445400968
LINK-013720,Manhattan,103,2,40.732206,-73.984823,Live,121470,224 2 AVENUE,10003,mn-03-121470,06/14/2017,03/19/2017,East Village,1006511,1004550005,1004000,EAST 13 STREET,EAST 14 STREET,SE,,"(40.732206, -73.98482253)",988456.3884069801,206039.33178685978
